country,cname,party_id,party_name,membership,eu_salience,eu_dissent,require_econ,require_pol,require_gov,lrgen,lrecon,lrecon_salience,galtan,galtan_salience,spendvtax,deregulation,redistribution,econ_interven,civlib_laworder,sociallifestyle,religious_principle,immigrate_policy,multiculturalism,urban_rural,environment,regions,international_security,ethnic_minorities,nationalism,antielite_salience,corrupt_salience,conflict_res,region_status,languages,russia_role,oligarchs
43,"mne",4307,"PCG",6.166667,8.916667,1,6.083333,6.583333,6.416667,4.75,4.636364,7.636364,3.083333,6.25,5.181818,5.8,3.5,4.818182,4.636364,1.9,1.888889,4.875,2.875,4.090909,3.416667,3.454545,2.4,2.1,2.5,6.5,8.545455,,,,,
43,"mne",4308,"BS",5.75,7.916667,1,5.727273,5.833333,5.545455,6.272727,4.857143,6.181818,7.272727,6.75,3.6,4.75,4.555555,5.111111,5,6.454545,7.727273,4.714286,3.75,7,5,2.090909,2.9,.5,6.583333,2.818182,4.916667,,,,,
44,"ukr",4401,"NF",6.666667,9.235294,1.125,6.25,5.666667,6.133333,6.625,6.571429,7.5625,5.357143,4.4375,5.6,7.5,5.692307,6.333333,6.625,6,5.846154,6.222222,5.5,4.181818,5.9,4.5,3.666667,5.0625,6.588235,4.733333,7.25,.5625,1.25,8.375,9.9411764,7.5
44,"ukr",4402,"BPP",6.666667,9.235294,1.125,6.117647,5.6875,6.058824,5.823529,6.375,7.3125,5.2,4.3125,5.909091,7,6.2,6,6.176471,5.375,5.357143,5.5,5,4.416667,6.090909,4.352941,3.666667,4.647059,5.777778,3.5625,6.470588,1.2352941,3.1764705,7.5882354,9.833333,8.5
44,"ukr",4403,"SAMOPOMICH",6.611111,8.611111,.875,6.3125,5.6,6.4375,6.294117,7,7.125,4.5,4.6875,6.4,7.642857,5.928571,7.533333,4.375,4.533333,5.642857,5.444445,5.25,4.2,5.7,3.125,3.714286,4.533333,5.529412,6.4,8.4,1.125,2,7.8000002,9.8823528,4.1176472
44,"ukr",4404,"OB",3.176471,4.117647,4.3125,2.75,3.5,3.2,4.076923,4.571429,7.25,6.666667,3.9375,4.5,4.25,6.4,4.9375,6.066667,7.466667,4.909091,5.333333,4,3.636364,7.444445,2.588235,6.142857,3.133333,2.5,5.0625,4.294117,6.352941,8.625,.7647059,3,9.333333
44,"ukr",4405,"RP",5.647059,5.25,3.076923,4.545455,4.071429,5.428571,5.428571,3.923077,5.6875,8.214286,5.8125,5.555555,4.909091,3.214286,3.846154,7.6875,7.3125,6.076923,6.5,7.555555,6.2,5.857143,5.714286,3.285714,6.2,7.882353,8.8,7.9375,.5,.375,9.0625,9.9411764,7.2941175
44,"ukr",4406,"BATKIVSHCHYNA",6.555555,8.111111,1.5625,5.0625,5.214286,5.764706,4.941176,4.733333,6.875,5.866667,4.625,5.090909,5.571429,4.866667,4.529412,6.470588,6.214286,5.846154,5.444445,5.333333,5.181818,5.888889,5.066667,3.875,4.785714,6.117647,6.375,6.941176,.625,1.3125,8.0625,9.8888893,7.352941
44,"ukr",4407,"SVOBODA",5.411765,6.117647,3.285714,4.357143,3.933333,5.6,7.875,4.076923,4.5625,8.8,7,4,4.090909,3.25,3.857143,8.058824,9.176471,7.333333,7.076923,8.181818,5.818182,5.333333,6.666667,4.375,8.176471,8.944445,8.2,7.375,.3125,.5,9.7058821,9.9444447,4.9444447
44,"ukr",4408,"KPU",1.555556,3.764706,1.066667,1.333333,2.083333,2.25,.7058824,.5,7.6,8.666667,6.1875,2.428571,1.714286,.9333333,.8823529,8.583333,9.352942,1.733333,5.25,5.1,4.454545,6.888889,3.285714,7.375,2.285714,2,8.8,5.4,8.0666666,8.9375,.05882353,1.2352941,5.2777777
44,"ukr",4409,"SU",4,4.8125,4.222222,3.545455,4,4.333333,4.846154,5,7.6,5.222222,3.875,4.6,5,5.5,5,5.5,5.5,5,5.125,4.428571,4.25,6,3.125,4.25,3.9,3.818182,4.090909,4.909091,5.3636365,6.7777777,2.0999999,3.5454545,8.9230766
44,"ukr",4410,"GP",6.384615,7.6,1.5,6.083333,5.555555,6.090909,5.5,5.875,6.6,4.875,4.5,4.6,7,5.375,6,5,4.428571,4.625,5,5,4.166667,4.75,4,3,4.222222,5.375,6,7.727273,.77777779,1.625,7.875,9.1999998,4.4000001
44,"ukr",4411,"ZASTUP",4.714286,6,4.4,4.2,4.4,4.4,4.857143,4.833333,8.214286,5.25,4,4,4.5,5.5,5.75,6,5.5,6.333333,5.666667,6,8.888889,5.25,3.333333,6,4.75,5.25,3.25,7.5,3.6666667,4.6666665,4,5,8.2857141
44,"ukr",4412,"PS",4.266667,4.647059,4.5,4.3,2.5,5.363636,9.529411,4.222222,2.875,8.923077,7.3125,4.285714,3.428571,3,4,8.866667,9.466666,7.636364,7.5,9.090909,4.777778,5.166667,7.833333,4.6,8.733334,8.823529,8.933333,8.3125,.375,.4375,9.4666662,9.9411764,4.0625
